date,stock_id,link,source,title
2021-02-26 01:26:10,2330,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BBadr25%E6%97%A5%E4%B8%8B%E8%B7%8C6-30%E7%BE%8E%E5%85%83%E8%B7%8C%E5%B9%854-76-%E6%8A%98%E5%8F%B0%E8%82%A1712-05%E5%85%83-012610465.html,Yahoo奇摩股市,台積電ADR25日下跌6.30美元跌幅4.76%折台股712.05元 - Yahoo奇摩股市
2021-02-26 05:56:00,2330,https://finance.ettoday.net/news/1926751,ETtoday,「1張圖」曝台積電連環殺真相！主力割韭菜...GG山頂全「散戶冤魂」 - ETtoday
2021-02-26 07:06:55,2330,https://ec.ltn.com.tw/article/breakingnews/3450372,自由財經,台積電差點失守6百元大關 下周是觀察重點 - 自由財經
2021-02-26 08:00:00,2330,https://ec.ltn.com.tw/article/breakingnews/3450484,自由財經,台積電全球政策副總裁：鳳凰城逾65家半導體公司 建5奈米廠理想地點 - 自由財經
2021-02-26 08:00:00,2330,https://tw.stock.yahoo.com/news/%E5%A4%96%E8%B3%87%E8%B3%A3%E8%B6%85944%E5%84%84-%E8%B6%85%E9%81%8E%E9%87%91%E8%9E%8D%E6%B5%B7%E5%98%AF%E5%89%B5%E5%96%AE%E6%97%A5%E6%96%B0%E9%AB%98-%E5%8F%8B%E9%81%94-%E7%BE%A4%E5%89%B5-%E8%81%AF%E9%9B%BB-085543069.html,Yahoo奇摩股市,元宵變盤》外資賣超944億創單日歷史新高 護國神山台積電成提款機 - Yahoo奇摩股市
2021-02-26 08:23:30,2330,https://ec.ltn.com.tw/article/breakingnews/3450451,自由財經,台積電將開全球之先 可望把再生水導入製程 - 自由財經
2021-02-26 08:45:00,2330,https://ec.ltn.com.tw/article/breakingnews/3450484,自由財經,台積電全球政策副總裁：鳳凰城逾65家半導體公司 建5奈米廠理想地點 - 自由財經
2021-02-26 08:55:43,2330,https://tw.stock.yahoo.com/news/%E5%A4%96%E8%B3%87%E8%B3%A3%E8%B6%85944%E5%84%84-%E8%B6%85%E9%81%8E%E9%87%91%E8%9E%8D%E6%B5%B7%E5%98%AF%E5%89%B5%E5%96%AE%E6%97%A5%E6%96%B0%E9%AB%98-%E5%8F%8B%E9%81%94-%E7%BE%A4%E5%89%B5-%E8%81%AF%E9%9B%BB-085543069.html,Yahoo奇摩股市,元宵變盤》外資賣超944億創單日歷史新高 護國神山台積電成提款機 - Yahoo奇摩股市
2021-02-26 09:09:20,2330,https://money.udn.com/money/story/12509/5279872,經濟日報,台積電（2330）第4季每股純益EPS5.5元 - 經濟日報
2021-02-27 03:11:44,2330,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BBadr26%E6%97%A5%E4%B8%8B%E8%B7%8C0-06%E7%BE%8E%E5%85%83%E8%B7%8C%E5%B9%850-05-%E6%8A%98%E5%8F%B0%E8%82%A1712-97%E5%85%83-031144904.html,Yahoo奇摩股市,台積電ADR26日下跌0.06美元跌幅0.05%折台股712.97元 - Yahoo奇摩股市
2021-02-27 08:00:00,2330,https://ec.ltn.com.tw/article/paper/1433770,自由財經,再生水導入製程 台積電領先全球同業 - 自由財經
2021-02-27 09:43:18,2330,https://money.udn.com/money/story/5599/5282147,經濟日報,科技股反彈、台積電ADR隨費半反攻 投資人不怕美債閃崩 - 經濟日報
2021-02-28 06:01:00,2330,https://tw.appledaily.com/property/20210228/M4AT6XQJTJCTHMMH3AX75AGFTU/,台灣蘋果日報,台積電結構性調薪今年新進碩士生月薪逾5.7萬｜ 蘋果新聞網｜ 蘋果日報 - 台灣蘋果日報
2021-02-28 13:29:17,2330,https://money.udn.com/money/story/5612/5284279?ref=tab20210228,經濟日報,台積電外派美國福利曝光 綠卡、新冠疫苗都有機會拿到 - 經濟日報
2021-02-28 16:57:23,2330,https://money.udn.com/money/story/5612/5284669,經濟日報,台積電衝刺美國布局 要蓋六個廠 - 經濟日報
