date,stock_id,buy,name,sell
2012-06-25,2330,1035000,Dealer,636000
2012-06-25,2330,17282000,Foreign_Investor,34225373
2012-06-25,2330,0,Investment_Trust,581000
2012-06-26,2330,3678000,Dealer,557000
2012-06-26,2330,12537000,Foreign_Investor,32346638
2012-06-26,2330,913,Investment_Trust,170000
2012-06-27,2330,1940000,Dealer,601000
2012-06-27,2330,20717768,Foreign_Investor,26628480
2012-06-27,2330,1248000,Investment_Trust,0
2012-06-28,2330,1572000,Dealer,447000
2012-06-28,2330,25657469,Foreign_Investor,20778014
2012-06-28,2330,345000,Investment_Trust,401000
2012-06-29,2330,4382000,Dealer,620000
2012-06-29,2330,36640000,Foreign_Investor,33185956
2012-06-29,2330,25000,Investment_Trust,252000
2012-07-02,2330,2483000,Dealer,2084000
2012-07-02,2330,27807140,Foreign_Investor,30091381
2012-07-02,2330,4688000,Investment_Trust,693000
2012-07-03,2330,5012000,Dealer,1607000
2012-07-03,2330,30878718,Foreign_Investor,12591342
2012-07-03,2330,794000,Investment_Trust,80000
2012-07-04,2330,164000,Dealer,8417000
2012-07-04,2330,11639565,Foreign_Investor,10906860
2012-07-04,2330,100000,Investment_Trust,65000
2012-07-05,2330,349000,Dealer,2570000
2012-07-05,2330,17819000,Foreign_Investor,6102988
2012-07-05,2330,70000,Investment_Trust,529000
2012-07-06,2330,555000,Dealer,268000
2012-07-06,2330,30118000,Foreign_Investor,20072441
2012-07-06,2330,166000,Investment_Trust,823000
2012-07-09,2330,272000,Dealer,144000
2012-07-09,2330,30437900,Foreign_Investor,40975300
2012-07-09,2330,49000,Investment_Trust,568000
2012-07-10,2330,1260000,Dealer,267000
2012-07-10,2330,15747000,Foreign_Investor,30222995
2012-07-10,2330,10000,Investment_Trust,80000
2012-07-11,2330,1318000,Dealer,488000
2012-07-11,2330,23597000,Foreign_Investor,51978192
2012-07-11,2330,159000,Investment_Trust,824000
2012-07-12,2330,2355000,Dealer,394000
2012-07-12,2330,18411187,Foreign_Investor,56612062
2012-07-12,2330,0,Investment_Trust,2006000
2012-07-13,2330,2414000,Dealer,710000
2012-07-13,2330,21691383,Foreign_Investor,40637285
2012-07-13,2330,19000,Investment_Trust,468904
2012-07-16,2330,239000,Dealer,223210
2012-07-16,2330,23220095,Foreign_Investor,37215930
2012-07-16,2330,360000,Investment_Trust,28000
2012-07-17,2330,1982000,Dealer,262000
2012-07-17,2330,19939600,Foreign_Investor,44084977
2012-07-17,2330,164000,Investment_Trust,266000
2012-07-18,2330,837000,Dealer,3343000
2012-07-18,2330,13265149,Foreign_Investor,28367452
2012-07-18,2330,2282000,Investment_Trust,0
2012-07-19,2330,1034000,Dealer,2558000
2012-07-19,2330,47991000,Foreign_Investor,23611060
2012-07-19,2330,193000,Investment_Trust,0
2012-07-20,2330,242000,Dealer,977000
2012-07-20,2330,30668000,Foreign_Investor,40770755
2012-07-20,2330,370000,Investment_Trust,305000
2012-07-23,2330,1558000,Dealer,1084000
2012-07-23,2330,15811000,Foreign_Investor,45673750
2012-07-23,2330,652000,Investment_Trust,1014000
2012-07-24,2330,2808000,Dealer,146000
2012-07-24,2330,20076274,Foreign_Investor,33124761
2012-07-24,2330,275000,Investment_Trust,166000
2012-07-25,2330,612000,Dealer,709000
2012-07-25,2330,48267620,Foreign_Investor,63425733
2012-07-25,2330,394000,Investment_Trust,0
2012-07-26,2330,224000,Dealer,1248000
2012-07-26,2330,39328000,Foreign_Investor,23872771
2012-07-26,2330,1942000,Investment_Trust,0
2012-07-27,2330,321000,Dealer,1881000
2012-07-27,2330,61871340,Foreign_Investor,20579445
2012-07-27,2330,1119000,Investment_Trust,22000
2012-07-30,2330,85000,Dealer,1712000
2012-07-30,2330,44709452,Foreign_Investor,22593781
2012-07-30,2330,81000,Investment_Trust,1500000
2012-07-31,2330,582000,Dealer,1647000
2012-07-31,2330,60000001,Foreign_Investor,32959989
2012-07-31,2330,198000,Investment_Trust,90000
2012-08-01,2330,546000,Dealer,268000
2012-08-01,2330,29946000,Foreign_Investor,36993589
2012-08-01,2330,126000,Investment_Trust,792000
2012-08-03,2330,334000,Dealer,501000
2012-08-03,2330,42079053,Foreign_Investor,34858422
2012-08-03,2330,0,Investment_Trust,264000
2012-08-06,2330,376000,Dealer,623000
2012-08-06,2330,50707000,Foreign_Investor,32233896
2012-08-06,2330,166000,Investment_Trust,33000
2012-08-07,2330,165000,Dealer,703000
2012-08-07,2330,37329434,Foreign_Investor,15841925
2012-08-07,2330,20000,Investment_Trust,738000
2012-08-08,2330,309000,Dealer,368000
2012-08-08,2330,31002033,Foreign_Investor,26101673
2012-08-08,2330,319000,Investment_Trust,260000
2012-08-09,2330,862000,Dealer,841000
2012-08-09,2330,45502360,Foreign_Investor,13189863
2012-08-09,2330,811000,Investment_Trust,528000
2012-08-10,2330,1561000,Dealer,236000
2012-08-10,2330,22027100,Foreign_Investor,16795000
2012-08-10,2330,327000,Investment_Trust,629000
2012-08-13,2330,827000,Dealer,436000
2012-08-13,2330,21136000,Foreign_Investor,7907635
2012-08-13,2330,113000,Investment_Trust,225000
2012-08-14,2330,986000,Dealer,638000
2012-08-14,2330,28119092,Foreign_Investor,9937342
2012-08-14,2330,0,Investment_Trust,367000
2012-08-15,2330,165000,Dealer,662710
2012-08-15,2330,23988173,Foreign_Investor,16064000
2012-08-15,2330,426000,Investment_Trust,274000
2012-08-16,2330,447000,Dealer,400000
2012-08-16,2330,24697000,Foreign_Investor,12981843
2012-08-16,2330,305000,Investment_Trust,1700000
2012-08-17,2330,1308000,Dealer,433000
2012-08-17,2330,23105000,Foreign_Investor,24762608
2012-08-17,2330,12000,Investment_Trust,800544
2012-08-20,2330,250000,Dealer,317000
2012-08-20,2330,22619000,Foreign_Investor,14179253
2012-08-20,2330,0,Investment_Trust,2228000
2012-08-21,2330,400000,Dealer,1092000
2012-08-21,2330,30867310,Foreign_Investor,5134563
2012-08-21,2330,100000,Investment_Trust,257000
2012-08-22,2330,895000,Dealer,325000
2012-08-22,2330,18925407,Foreign_Investor,28559200
2012-08-22,2330,918000,Investment_Trust,647000
2012-08-23,2330,135000,Dealer,157000
2012-08-23,2330,19742872,Foreign_Investor,15440491
2012-08-23,2330,690000,Investment_Trust,925000
2012-08-24,2330,573000,Dealer,1005000
2012-08-24,2330,18560000,Foreign_Investor,21721641
2012-08-24,2330,647000,Investment_Trust,40000
2012-08-27,2330,533000,Dealer,1981000
2012-08-27,2330,22897000,Foreign_Investor,9740809
2012-08-27,2330,16000,Investment_Trust,13000
2012-08-28,2330,526100,Dealer,1709000
2012-08-28,2330,25689745,Foreign_Investor,20982895
2012-08-28,2330,65000,Investment_Trust,10000
2012-08-29,2330,351000,Dealer,323000
2012-08-29,2330,16065000,Foreign_Investor,11358337
2012-08-29,2330,359000,Investment_Trust,757000
2012-08-30,2330,187000,Dealer,2138100
2012-08-30,2330,41486000,Foreign_Investor,38338106
2012-08-30,2330,1270000,Investment_Trust,6000
2012-08-31,2330,57000,Dealer,478000
2012-08-31,2330,10470500,Foreign_Investor,7552902
2012-08-31,2330,1457000,Investment_Trust,118000
2012-09-03,2330,329000,Dealer,318000
2012-09-03,2330,11175283,Foreign_Investor,7943400
2012-09-03,2330,330000,Investment_Trust,21000
2012-09-04,2330,703000,Dealer,1548000
2012-09-04,2330,16366600,Foreign_Investor,10988316
2012-09-04,2330,486000,Investment_Trust,221000
2012-09-05,2330,1624000,Dealer,823858
2012-09-05,2330,18480000,Foreign_Investor,37317000
2012-09-05,2330,13000,Investment_Trust,1526000
2012-09-06,2330,1182000,Dealer,1058000
2012-09-06,2330,10637000,Foreign_Investor,20595400
2012-09-06,2330,418000,Investment_Trust,936000
2012-09-07,2330,561000,Dealer,1604000
2012-09-07,2330,35307500,Foreign_Investor,6206514
2012-09-07,2330,55000,Investment_Trust,4000
2012-09-10,2330,394000,Dealer,718000
2012-09-10,2330,18505807,Foreign_Investor,17482909
2012-09-10,2330,12000,Investment_Trust,107000
2012-09-11,2330,101000,Dealer,1321000
2012-09-11,2330,23610200,Foreign_Investor,8565703
2012-09-11,2330,25000,Investment_Trust,21000
2012-09-12,2330,274000,Dealer,338000
2012-09-12,2330,31336000,Foreign_Investor,24517353
2012-09-12,2330,220000,Investment_Trust,9000
2012-09-13,2330,215000,Dealer,515000
2012-09-13,2330,27502000,Foreign_Investor,11451571
2012-09-13,2330,21000,Investment_Trust,197000
2012-09-14,2330,1647000,Dealer,180000
2012-09-14,2330,35526170,Foreign_Investor,10116356
2012-09-14,2330,1514000,Investment_Trust,22000
2012-09-17,2330,42000,Dealer,2352000
2012-09-17,2330,21001000,Foreign_Investor,12057519
2012-09-17,2330,19000,Investment_Trust,271000
2012-09-18,2330,1357000,Dealer,156000
2012-09-18,2330,26613000,Foreign_Investor,22534433
2012-09-18,2330,0,Investment_Trust,810000
2012-09-19,2330,1374000,Dealer,302000
2012-09-19,2330,30608500,Foreign_Investor,24129150
2012-09-19,2330,163000,Investment_Trust,159000
2012-09-20,2330,323000,Dealer,281000
2012-09-20,2330,21164230,Foreign_Investor,14578910
2012-09-20,2330,870000,Investment_Trust,82000
2012-09-21,2330,648000,Dealer,933000
2012-09-21,2330,42084000,Foreign_Investor,25265046
2012-09-21,2330,436000,Investment_Trust,1095000
2012-09-24,2330,938000,Dealer,1818000
2012-09-24,2330,24673816,Foreign_Investor,14721279
2012-09-24,2330,595000,Investment_Trust,407000
2012-09-25,2330,173000,Dealer,288000
2012-09-25,2330,33140000,Foreign_Investor,25320281
2012-09-25,2330,0,Investment_Trust,476000
2012-09-26,2330,261000,Dealer,822000
2012-09-26,2330,33409200,Foreign_Investor,20841000
2012-09-26,2330,352000,Investment_Trust,56000
2012-09-27,2330,714000,Dealer,1131000
2012-09-27,2330,48331454,Foreign_Investor,21636611
2012-09-27,2330,1406000,Investment_Trust,248000
2012-09-28,2330,484000,Dealer,904000
2012-09-28,2330,59270300,Foreign_Investor,32082045
2012-09-28,2330,1302000,Investment_Trust,262000
2012-10-01,2330,50000,Dealer,749000
2012-10-01,2330,32232601,Foreign_Investor,24320667
2012-10-01,2330,172000,Investment_Trust,382000
2012-10-02,2330,214000,Dealer,1152000
2012-10-02,2330,31331200,Foreign_Investor,24548380
2012-10-02,2330,218000,Investment_Trust,394000
2012-10-03,2330,6000,Dealer,1816000
2012-10-03,2330,30978031,Foreign_Investor,22728587
2012-10-03,2330,0,Investment_Trust,30000
2012-10-04,2330,951000,Dealer,861000
2012-10-04,2330,31309000,Foreign_Investor,14073074
2012-10-04,2330,0,Investment_Trust,70000
2012-10-05,2330,234000,Dealer,1103000
2012-10-05,2330,36475266,Foreign_Investor,23322837
2012-10-05,2330,40000,Investment_Trust,262000
2012-10-08,2330,1010000,Dealer,1776000
2012-10-08,2330,31055924,Foreign_Investor,29879805
2012-10-08,2330,439000,Investment_Trust,15000
2012-10-09,2330,1910000,Dealer,537000
2012-10-09,2330,41891000,Foreign_Investor,47079662
2012-10-09,2330,645000,Investment_Trust,731000
2012-10-11,2330,4572000,Dealer,568000
2012-10-11,2330,43717791,Foreign_Investor,67318108
2012-10-11,2330,418000,Investment_Trust,344000
2012-10-12,2330,364000,Dealer,1533000
2012-10-12,2330,18860000,Foreign_Investor,13443600
2012-10-12,2330,590000,Investment_Trust,662000
2012-10-15,2330,1476000,Dealer,1131000
2012-10-15,2330,14962007,Foreign_Investor,12119526
2012-10-15,2330,238000,Investment_Trust,67000
2012-10-16,2330,575000,Dealer,1194000
2012-10-16,2330,22513000,Foreign_Investor,21430469
2012-10-16,2330,335000,Investment_Trust,49000
2012-10-17,2330,2092000,Dealer,814000
2012-10-17,2330,24685000,Foreign_Investor,27729123
2012-10-17,2330,588000,Investment_Trust,37000
2012-10-18,2330,651000,Dealer,1104000
2012-10-18,2330,20102000,Foreign_Investor,12251000
2012-10-18,2330,40000,Investment_Trust,709000
2012-10-19,2330,615000,Dealer,668000
2012-10-19,2330,18873000,Foreign_Investor,18249961
2012-10-19,2330,838000,Investment_Trust,519000
2012-10-22,2330,588000,Dealer,525000
2012-10-22,2330,13856000,Foreign_Investor,15408100
